,dateRep,deaths,countriesAndTerritories,flag
5990,2019-12-31,0,United_Kingdom,0.0
6079,2019-12-31,0,United_States_of_America,0.0
6181,2019-12-31,0,Vietnam,0.0
71,2020-01-01,0,Afghanistan,0.0
163,2020-01-01,0,Algeria,0.0
266,2020-01-01,0,Armenia,0.0
349,2020-01-01,0,Australia,0.0
432,2020-01-01,0,Austria,0.0
508,2020-01-01,0,Azerbaijan,0.0
595,2020-01-01,0,Bahrain,0.0
683,2020-01-01,0,Belarus,0.0
766,2020-01-01,0,Belgium,0.0
884,2020-01-01,0,Brazil,0.0
993,2020-01-01,0,Cambodia,0.0
1086,2020-01-01,0,Canada,0.0
1152,2020-01-01,0,Cases_on_an_international_conveyance_Japan,0.0
1266,2020-01-01,0,China,0.0
1389,2020-01-01,0,Croatia,0.0
1491,2020-01-01,0,Czech_Republic,0.0
1584,2020-01-01,0,Denmark,0.0
1662,2020-01-01,0,Dominican_Republic,0.0
1740,2020-01-01,0,Ecuador,0.0
1819,2020-01-01,0,Egypt,0.0
1910,2020-01-01,0,Estonia,0.0
2011,2020-01-01,0,Finland,0.0
2094,2020-01-01,0,France,0.0
2192,2020-01-01,0,Georgia,0.0
2275,2020-01-01,0,Germany,0.0
2368,2020-01-01,0,Greece,0.0
2522,2020-01-01,0,Iceland,0.0
2604,2020-01-01,0,India,0.0
2680,2020-01-01,0,Indonesia,0.0
2763,2020-01-01,0,Iran,0.0
2844,2020-01-01,0,Iraq,0.0
2925,2020-01-01,0,Ireland,0.0
3007,2020-01-01,0,Israel,0.0
3090,2020-01-01,0,Italy,0.0
3183,2020-01-01,0,Japan,0.0
3300,2020-01-01,0,Kuwait,0.0
3399,2020-01-01,0,Lebanon,0.0
3491,2020-01-01,0,Lithuania,0.0
3567,2020-01-01,0,Luxembourg,0.0
3651,2020-01-01,0,Malaysia,0.0
3763,2020-01-01,0,Mexico,0.0
3847,2020-01-01,0,Monaco,0.0
3953,2020-01-01,0,Nepal,0.0
4036,2020-01-01,0,Netherlands,0.0
4115,2020-01-01,0,New_Zealand,0.0
4193,2020-01-01,0,Nigeria,0.0
4267,2020-01-01,0,North_Macedonia,0.0
4350,2020-01-01,0,Norway,0.0
4427,2020-01-01,0,Oman,0.0
4505,2020-01-01,0,Pakistan,0.0
4640,2020-01-01,0,Philippines,0.0
4756,2020-01-01,0,Qatar,0.0
4837,2020-01-01,0,Romania,0.0
4915,2020-01-01,0,Russia,0.0
5014,2020-01-01,0,San_Marino,0.0
5148,2020-01-01,0,Singapore,0.0
5284,2020-01-01,0,South_Korea,0.0
5367,2020-01-01,0,Spain,0.0
5441,2020-01-01,0,Sri_Lanka,0.0
5536,2020-01-01,0,Sweden,0.0
5619,2020-01-01,0,Switzerland,0.0
5700,2020-01-01,0,Taiwan,0.0
5776,2020-01-01,0,Thailand,0.0
5906,2020-01-01,0,United_Arab_Emirates,0.0
5989,2020-01-01,0,United_Kingdom,0.0
6078,2020-01-01,0,United_States_of_America,0.0
6180,2020-01-01,0,Vietnam,0.0
70,2020-01-02,0,Afghanistan,0.0
162,2020-01-02,0,Algeria,0.0
265,2020-01-02,0,Armenia,0.0
348,2020-01-02,0,Australia,0.0
431,2020-01-02,0,Austria,0.0
507,2020-01-02,0,Azerbaijan,0.0
594,2020-01-02,0,Bahrain,0.0
682,2020-01-02,0,Belarus,0.0
765,2020-01-02,0,Belgium,0.0
883,2020-01-02,0,Brazil,0.0
992,2020-01-02,0,Cambodia,0.0
1085,2020-01-02,0,Canada,0.0
1151,2020-01-02,0,Cases_on_an_international_conveyance_Japan,0.0
1265,2020-01-02,0,China,0.0
1388,2020-01-02,0,Croatia,0.0
1490,2020-01-02,0,Czech_Republic,0.0
1583,2020-01-02,0,Denmark,0.0
1661,2020-01-02,0,Dominican_Republic,0.0
1739,2020-01-02,0,Ecuador,0.0
1818,2020-01-02,0,Egypt,0.0
1909,2020-01-02,0,Estonia,0.0
2010,2020-01-02,0,Finland,0.0
2093,2020-01-02,0,France,0.0
2191,2020-01-02,0,Georgia,0.0
2274,2020-01-02,0,Germany,0.0
2367,2020-01-02,0,Greece,0.0
2521,2020-01-02,0,Iceland,0.0
2603,2020-01-02,0,India,0.0
2679,2020-01-02,0,Indonesia,0.0
2762,2020-01-02,0,Iran,0.0
2843,2020-01-02,0,Iraq,0.0
2924,2020-01-02,0,Ireland,0.0
3006,2020-01-02,0,Israel,0.0
3089,2020-01-02,0,Italy,0.0
3182,2020-01-02,0,Japan,0.0
3299,2020-01-02,0,Kuwait,0.0
3398,2020-01-02,0,Lebanon,0.0
3490,2020-01-02,0,Lithuania,0.0
3566,2020-01-02,0,Luxembourg,0.0
3650,2020-01-02,0,Malaysia,0.0
3762,2020-01-02,0,Mexico,0.0
3846,2020-01-02,0,Monaco,0.0
3952,2020-01-02,0,Nepal,0.0
4035,2020-01-02,0,Netherlands,0.0
4114,2020-01-02,0,New_Zealand,0.0
4192,2020-01-02,0,Nigeria,0.0
4266,2020-01-02,0,North_Macedonia,0.0
4349,2020-01-02,0,Norway,0.0
4426,2020-01-02,0,Oman,0.0
4504,2020-01-02,0,Pakistan,0.0
4639,2020-01-02,0,Philippines,0.0
4755,2020-01-02,0,Qatar,0.0
4836,2020-01-02,0,Romania,0.0
4914,2020-01-02,0,Russia,0.0
5013,2020-01-02,0,San_Marino,0.0
5147,2020-01-02,0,Singapore,0.0
5283,2020-01-02,0,South_Korea,0.0
5366,2020-01-02,0,Spain,0.0
5440,2020-01-02,0,Sri_Lanka,0.0
5535,2020-01-02,0,Sweden,0.0
5618,2020-01-02,0,Switzerland,0.0
5699,2020-01-02,0,Taiwan,0.0
5775,2020-01-02,0,Thailand,0.0
5905,2020-01-02,0,United_Arab_Emirates,0.0
5988,2020-01-02,0,United_Kingdom,0.0
6077,2020-01-02,0,United_States_of_America,0.0
6179,2020-01-02,0,Vietnam,0.0
69,2020-01-03,0,Afghanistan,0.0
161,2020-01-03,0,Algeria,0.0
264,2020-01-03,0,Armenia,0.0
347,2020-01-03,0,Australia,0.0
430,2020-01-03,0,Austria,0.0
506,2020-01-03,0,Azerbaijan,0.0
593,2020-01-03,0,Bahrain,0.0
681,2020-01-03,0,Belarus,0.0
764,2020-01-03,0,Belgium,0.0
882,2020-01-03,0,Brazil,0.0
991,2020-01-03,0,Cambodia,0.0
1084,2020-01-03,0,Canada,0.0
1150,2020-01-03,0,Cases_on_an_international_conveyance_Japan,0.0
1264,2020-01-03,0,China,0.0
1387,2020-01-03,0,Croatia,0.0
1489,2020-01-03,0,Czech_Republic,0.0
1582,2020-01-03,0,Denmark,0.0
1660,2020-01-03,0,Dominican_Republic,0.0
1738,2020-01-03,0,Ecuador,0.0
1817,2020-01-03,0,Egypt,0.0
1908,2020-01-03,0,Estonia,0.0
2009,2020-01-03,0,Finland,0.0
2092,2020-01-03,0,France,0.0
2190,2020-01-03,0,Georgia,0.0
2273,2020-01-03,0,Germany,0.0
2366,2020-01-03,0,Greece,0.0
2520,2020-01-03,0,Iceland,0.0
2602,2020-01-03,0,India,0.0
2678,2020-01-03,0,Indonesia,0.0
2761,2020-01-03,0,Iran,0.0
2842,2020-01-03,0,Iraq,0.0
2923,2020-01-03,0,Ireland,0.0
3005,2020-01-03,0,Israel,0.0
3088,2020-01-03,0,Italy,0.0
3181,2020-01-03,0,Japan,0.0
3298,2020-01-03,0,Kuwait,0.0
3397,2020-01-03,0,Lebanon,0.0
3489,2020-01-03,0,Lithuania,0.0
3565,2020-01-03,0,Luxembourg,0.0
3649,2020-01-03,0,Malaysia,0.0
3761,2020-01-03,0,Mexico,0.0
3845,2020-01-03,0,Monaco,0.0
3951,2020-01-03,0,Nepal,0.0
4034,2020-01-03,0,Netherlands,0.0
4113,2020-01-03,0,New_Zealand,0.0
4191,2020-01-03,0,Nigeria,0.0
4265,2020-01-03,0,North_Macedonia,0.0
4348,2020-01-03,0,Norway,0.0
4425,2020-01-03,0,Oman,0.0
4503,2020-01-03,0,Pakistan,0.0
4638,2020-01-03,0,Philippines,0.0
4754,2020-01-03,0,Qatar,0.0
4835,2020-01-03,0,Romania,0.0
4913,2020-01-03,0,Russia,0.0
5012,2020-01-03,0,San_Marino,0.0
5146,2020-01-03,0,Singapore,0.0
5282,2020-01-03,0,South_Korea,0.0
5365,2020-01-03,0,Spain,0.0
5439,2020-01-03,0,Sri_Lanka,0.0
5534,2020-01-03,0,Sweden,0.0
5617,2020-01-03,0,Switzerland,0.0
5698,2020-01-03,0,Taiwan,0.0
5774,2020-01-03,0,Thailand,0.0
5904,2020-01-03,0,United_Arab_Emirates,0.0
5987,2020-01-03,0,United_Kingdom,0.0
6076,2020-01-03,0,United_States_of_America,0.0
6178,2020-01-03,0,Vietnam,0.0
68,2020-01-04,0,Afghanistan,0.0
160,2020-01-04,0,Algeria,0.0
263,2020-01-04,0,Armenia,0.0
346,2020-01-04,0,Australia,0.0
429,2020-01-04,0,Austria,0.0
505,2020-01-04,0,Azerbaijan,0.0
592,2020-01-04,0,Bahrain,0.0
680,2020-01-04,0,Belarus,0.0
763,2020-01-04,0,Belgium,0.0
881,2020-01-04,0,Brazil,0.0
990,2020-01-04,0,Cambodia,0.0
1083,2020-01-04,0,Canada,0.0
1149,2020-01-04,0,Cases_on_an_international_conveyance_Japan,0.0
1263,2020-01-04,0,China,0.0
1386,2020-01-04,0,Croatia,0.0
1488,2020-01-04,0,Czech_Republic,0.0
1581,2020-01-04,0,Denmark,0.0
1659,2020-01-04,0,Dominican_Republic,0.0
1737,2020-01-04,0,Ecuador,0.0
1816,2020-01-04,0,Egypt,0.0
1907,2020-01-04,0,Estonia,0.0
2008,2020-01-04,0,Finland,0.0
2091,2020-01-04,0,France,0.0
2189,2020-01-04,0,Georgia,0.0
2272,2020-01-04,0,Germany,0.0
2365,2020-01-04,0,Greece,0.0
2519,2020-01-04,0,Iceland,0.0
2601,2020-01-04,0,India,0.0
2677,2020-01-04,0,Indonesia,0.0
2760,2020-01-04,0,Iran,0.0
2841,2020-01-04,0,Iraq,0.0
2922,2020-01-04,0,Ireland,0.0
3004,2020-01-04,0,Israel,0.0
3087,2020-01-04,0,Italy,0.0
3180,2020-01-04,0,Japan,0.0
3297,2020-01-04,0,Kuwait,0.0
3396,2020-01-04,0,Lebanon,0.0
3488,2020-01-04,0,Lithuania,0.0
3564,2020-01-04,0,Luxembourg,0.0
3648,2020-01-04,0,Malaysia,0.0
3760,2020-01-04,0,Mexico,0.0
3844,2020-01-04,0,Monaco,0.0
3950,2020-01-04,0,Nepal,0.0
4033,2020-01-04,0,Netherlands,0.0
4112,2020-01-04,0,New_Zealand,0.0
4190,2020-01-04,0,Nigeria,0.0
4264,2020-01-04,0,North_Macedonia,0.0
4347,2020-01-04,0,Norway,0.0
4424,2020-01-04,0,Oman,0.0
4502,2020-01-04,0,Pakistan,0.0
4637,2020-01-04,0,Philippines,0.0
4753,2020-01-04,0,Qatar,0.0
4834,2020-01-04,0,Romania,0.0
4912,2020-01-04,0,Russia,0.0
5011,2020-01-04,0,San_Marino,0.0
5145,2020-01-04,0,Singapore,0.0
5281,2020-01-04,0,South_Korea,0.0
5364,2020-01-04,0,Spain,0.0
5438,2020-01-04,0,Sri_Lanka,0.0
5533,2020-01-04,0,Sweden,0.0
5616,2020-01-04,0,Switzerland,0.0
5697,2020-01-04,0,Taiwan,0.0
5773,2020-01-04,0,Thailand,0.0
5903,2020-01-04,0,United_Arab_Emirates,0.0
5986,2020-01-04,0,United_Kingdom,0.0
6075,2020-01-04,0,United_States_of_America,0.0
6177,2020-01-04,0,Vietnam,0.0
67,2020-01-05,0,Afghanistan,0.0
159,2020-01-05,0,Algeria,0.0
262,2020-01-05,0,Armenia,0.0
345,2020-01-05,0,Australia,0.0
428,2020-01-05,0,Austria,0.0
504,2020-01-05,0,Azerbaijan,0.0
591,2020-01-05,0,Bahrain,0.0
679,2020-01-05,0,Belarus,0.0
762,2020-01-05,0,Belgium,0.0
880,2020-01-05,0,Brazil,0.0
989,2020-01-05,0,Cambodia,0.0
1082,2020-01-05,0,Canada,0.0
1148,2020-01-05,0,Cases_on_an_international_conveyance_Japan,0.0
1262,2020-01-05,0,China,0.0
1385,2020-01-05,0,Croatia,0.0
1487,2020-01-05,0,Czech_Republic,0.0
1580,2020-01-05,0,Denmark,0.0
1658,2020-01-05,0,Dominican_Republic,0.0
1736,2020-01-05,0,Ecuador,0.0
1815,2020-01-05,0,Egypt,0.0
1906,2020-01-05,0,Estonia,0.0
2007,2020-01-05,0,Finland,0.0
2090,2020-01-05,0,France,0.0
2188,2020-01-05,0,Georgia,0.0
2271,2020-01-05,0,Germany,0.0
2364,2020-01-05,0,Greece,0.0
2518,2020-01-05,0,Iceland,0.0
2600,2020-01-05,0,India,0.0
2676,2020-01-05,0,Indonesia,0.0
2759,2020-01-05,0,Iran,0.0
2840,2020-01-05,0,Iraq,0.0
2921,2020-01-05,0,Ireland,0.0
3003,2020-01-05,0,Israel,0.0
3086,2020-01-05,0,Italy,0.0
3179,2020-01-05,0,Japan,0.0
3296,2020-01-05,0,Kuwait,0.0
3395,2020-01-05,0,Lebanon,0.0
3487,2020-01-05,0,Lithuania,0.0
3563,2020-01-05,0,Luxembourg,0.0
3647,2020-01-05,0,Malaysia,0.0
3759,2020-01-05,0,Mexico,0.0
3843,2020-01-05,0,Monaco,0.0
3949,2020-01-05,0,Nepal,0.0
4032,2020-01-05,0,Netherlands,0.0
4111,2020-01-05,0,New_Zealand,0.0
4189,2020-01-05,0,Nigeria,0.0
4263,2020-01-05,0,North_Macedonia,0.0
4346,2020-01-05,0,Norway,0.0
4423,2020-01-05,0,Oman,0.0
4501,2020-01-05,0,Pakistan,0.0
4636,2020-01-05,0,Philippines,0.0
4752,2020-01-05,0,Qatar,0.0
4833,2020-01-05,0,Romania,0.0
4911,2020-01-05,0,Russia,0.0
5010,2020-01-05,0,San_Marino,0.0
5144,2020-01-05,0,Singapore,0.0
5280,2020-01-05,0,South_Korea,0.0
5363,2020-01-05,0,Spain,0.0
5437,2020-01-05,0,Sri_Lanka,0.0
5532,2020-01-05,0,Sweden,0.0
5615,2020-01-05,0,Switzerland,0.0
5696,2020-01-05,0,Taiwan,0.0
5772,2020-01-05,0,Thailand,0.0
5902,2020-01-05,0,United_Arab_Emirates,0.0
5985,2020-01-05,0,United_Kingdom,0.0
6074,2020-01-05,0,United_States_of_America,0.0
6176,2020-01-05,0,Vietnam,0.0
66,2020-01-06,0,Afghanistan,0.0
158,2020-01-06,0,Algeria,0.0
261,2020-01-06,0,Armenia,0.0
344,2020-01-06,0,Australia,0.0
427,2020-01-06,0,Austria,0.0
503,2020-01-06,0,Azerbaijan,0.0
590,2020-01-06,0,Bahrain,0.0
678,2020-01-06,0,Belarus,0.0
761,2020-01-06,0,Belgium,0.0
879,2020-01-06,0,Brazil,0.0
988,2020-01-06,0,Cambodia,0.0
1081,2020-01-06,0,Canada,0.0
1147,2020-01-06,0,Cases_on_an_international_conveyance_Japan,0.0
1261,2020-01-06,0,China,0.0
1384,2020-01-06,0,Croatia,0.0
1486,2020-01-06,0,Czech_Republic,0.0
1579,2020-01-06,0,Denmark,0.0
1657,2020-01-06,0,Dominican_Republic,0.0
1735,2020-01-06,0,Ecuador,0.0
1814,2020-01-06,0,Egypt,0.0
1905,2020-01-06,0,Estonia,0.0
2006,2020-01-06,0,Finland,0.0
2089,2020-01-06,0,France,0.0
2187,2020-01-06,0,Georgia,0.0
2270,2020-01-06,0,Germany,0.0
2363,2020-01-06,0,Greece,0.0
2517,2020-01-06,0,Iceland,0.0
2599,2020-01-06,0,India,0.0
2675,2020-01-06,0,Indonesia,0.0
2758,2020-01-06,0,Iran,0.0
2839,2020-01-06,0,Iraq,0.0
2920,2020-01-06,0,Ireland,0.0
3002,2020-01-06,0,Israel,0.0
3085,2020-01-06,0,Italy,0.0
3178,2020-01-06,0,Japan,0.0
3295,2020-01-06,0,Kuwait,0.0
3394,2020-01-06,0,Lebanon,0.0
3486,2020-01-06,0,Lithuania,0.0
3562,2020-01-06,0,Luxembourg,0.0
3646,2020-01-06,0,Malaysia,0.0
3758,2020-01-06,0,Mexico,0.0
3842,2020-01-06,0,Monaco,0.0
3948,2020-01-06,0,Nepal,0.0
4031,2020-01-06,0,Netherlands,0.0
4110,2020-01-06,0,New_Zealand,0.0
4188,2020-01-06,0,Nigeria,0.0
4262,2020-01-06,0,North_Macedonia,0.0
4345,2020-01-06,0,Norway,0.0
4422,2020-01-06,0,Oman,0.0
4500,2020-01-06,0,Pakistan,0.0
4635,2020-01-06,0,Philippines,0.0
4751,2020-01-06,0,Qatar,0.0
4832,2020-01-06,0,Romania,0.0
4910,2020-01-06,0,Russia,0.0
5009,2020-01-06,0,San_Marino,0.0
5143,2020-01-06,0,Singapore,0.0
5279,2020-01-06,0,South_Korea,0.0
5362,2020-01-06,0,Spain,0.0
5436,2020-01-06,0,Sri_Lanka,0.0
5531,2020-01-06,0,Sweden,0.0
5614,2020-01-06,0,Switzerland,0.0
5695,2020-01-06,0,Taiwan,0.0
5771,2020-01-06,0,Thailand,0.0
5901,2020-01-06,0,United_Arab_Emirates,0.0
5984,2020-01-06,0,United_Kingdom,0.0
6073,2020-01-06,0,United_States_of_America,0.0
6175,2020-01-06,0,Vietnam,0.0
65,2020-01-07,0,Afghanistan,0.0
157,2020-01-07,0,Algeria,0.0
260,2020-01-07,0,Armenia,0.0
343,2020-01-07,0,Australia,0.0
426,2020-01-07,0,Austria,0.0
502,2020-01-07,0,Azerbaijan,0.0
589,2020-01-07,0,Bahrain,0.0
677,2020-01-07,0,Belarus,0.0
760,2020-01-07,0,Belgium,0.0
878,2020-01-07,0,Brazil,0.0
987,2020-01-07,0,Cambodia,0.0
1080,2020-01-07,0,Canada,0.0
1146,2020-01-07,0,Cases_on_an_international_conveyance_Japan,0.0
1260,2020-01-07,0,China,0.0
1383,2020-01-07,0,Croatia,0.0
1485,2020-01-07,0,Czech_Republic,0.0
1578,2020-01-07,0,Denmark,0.0
1656,2020-01-07,0,Dominican_Republic,0.0
1734,2020-01-07,0,Ecuador,0.0
1813,2020-01-07,0,Egypt,0.0
1904,2020-01-07,0,Estonia,0.0
2005,2020-01-07,0,Finland,0.0
2088,2020-01-07,0,France,0.0
2186,2020-01-07,0,Georgia,0.0
2269,2020-01-07,0,Germany,0.0
2362,2020-01-07,0,Greece,0.0
2516,2020-01-07,0,Iceland,0.0
2598,2020-01-07,0,India,0.0
2674,2020-01-07,0,Indonesia,0.0
2757,2020-01-07,0,Iran,0.0
2838,2020-01-07,0,Iraq,0.0
2919,2020-01-07,0,Ireland,0.0
3001,2020-01-07,0,Israel,0.0
3084,2020-01-07,0,Italy,0.0
3177,2020-01-07,0,Japan,0.0
3294,2020-01-07,0,Kuwait,0.0
3393,2020-01-07,0,Lebanon,0.0
3485,2020-01-07,0,Lithuania,0.0
3561,2020-01-07,0,Luxembourg,0.0
3645,2020-01-07,0,Malaysia,0.0
3757,2020-01-07,0,Mexico,0.0
3841,2020-01-07,0,Monaco,0.0
3947,2020-01-07,0,Nepal,0.0
4030,2020-01-07,0,Netherlands,0.0
4109,2020-01-07,0,New_Zealand,0.0
4187,2020-01-07,0,Nigeria,0.0
4261,2020-01-07,0,North_Macedonia,0.0
4344,2020-01-07,0,Norway,0.0
4421,2020-01-07,0,Oman,0.0
4499,2020-01-07,0,Pakistan,0.0
4634,2020-01-07,0,Philippines,0.0
4750,2020-01-07,0,Qatar,0.0
4831,2020-01-07,0,Romania,0.0
4909,2020-01-07,0,Russia,0.0
5008,2020-01-07,0,San_Marino,0.0
5142,2020-01-07,0,Singapore,0.0
5278,2020-01-07,0,South_Korea,0.0
5361,2020-01-07,0,Spain,0.0
5435,2020-01-07,0,Sri_Lanka,0.0
5530,2020-01-07,0,Sweden,0.0
5613,2020-01-07,0,Switzerland,0.0
5694,2020-01-07,0,Taiwan,0.0
5770,2020-01-07,0,Thailand,0.0
5900,2020-01-07,0,United_Arab_Emirates,0.0
5983,2020-01-07,0,United_Kingdom,0.0
6072,2020-01-07,0,United_States_of_America,0.0
6174,2020-01-07,0,Vietnam,0.0
64,2020-01-08,0,Afghanistan,0.0
156,2020-01-08,0,Algeria,0.0
259,2020-01-08,0,Armenia,0.0
342,2020-01-08,0,Australia,0.0
425,2020-01-08,0,Austria,0.0
501,2020-01-08,0,Azerbaijan,0.0
588,2020-01-08,0,Bahrain,0.0
676,2020-01-08,0,Belarus,0.0
759,2020-01-08,0,Belgium,0.0
877,2020-01-08,0,Brazil,0.0
986,2020-01-08,0,Cambodia,0.0
1079,2020-01-08,0,Canada,0.0
1145,2020-01-08,0,Cases_on_an_international_conveyance_Japan,0.0
1259,2020-01-08,0,China,0.0
1382,2020-01-08,0,Croatia,0.0
1484,2020-01-08,0,Czech_Republic,0.0
1577,2020-01-08,0,Denmark,0.0
1655,2020-01-08,0,Dominican_Republic,0.0
1733,2020-01-08,0,Ecuador,0.0
1812,2020-01-08,0,Egypt,0.0
1903,2020-01-08,0,Estonia,0.0
2004,2020-01-08,0,Finland,0.0
2087,2020-01-08,0,France,0.0
2185,2020-01-08,0,Georgia,0.0
2268,2020-01-08,0,Germany,0.0
2361,2020-01-08,0,Greece,0.0
2515,2020-01-08,0,Iceland,0.0
2597,2020-01-08,0,India,0.0
2673,2020-01-08,0,Indonesia,0.0
2756,2020-01-08,0,Iran,0.0
2837,2020-01-08,0,Iraq,0.0
2918,2020-01-08,0,Ireland,0.0
3000,2020-01-08,0,Israel,0.0
3083,2020-01-08,0,Italy,0.0
3176,2020-01-08,0,Japan,0.0
3293,2020-01-08,0,Kuwait,0.0
3392,2020-01-08,0,Lebanon,0.0
3484,2020-01-08,0,Lithuania,0.0
3560,2020-01-08,0,Luxembourg,0.0
3644,2020-01-08,0,Malaysia,0.0
3756,2020-01-08,0,Mexico,0.0
3840,2020-01-08,0,Monaco,0.0
3946,2020-01-08,0,Nepal,0.0
4029,2020-01-08,0,Netherlands,0.0
4108,2020-01-08,0,New_Zealand,0.0
4186,2020-01-08,0,Nigeria,0.0
4260,2020-01-08,0,North_Macedonia,0.0
4343,2020-01-08,0,Norway,0.0
4420,2020-01-08,0,Oman,0.0
4498,2020-01-08,0,Pakistan,0.0
4633,2020-01-08,0,Philippines,0.0
4749,2020-01-08,0,Qatar,0.0
4830,2020-01-08,0,Romania,0.0
4908,2020-01-08,0,Russia,0.0
5007,2020-01-08,0,San_Marino,0.0
5141,2020-01-08,0,Singapore,0.0
5277,2020-01-08,0,South_Korea,0.0
5360,2020-01-08,0,Spain,0.0
5434,2020-01-08,0,Sri_Lanka,0.0
5529,2020-01-08,0,Sweden,0.0
5612,2020-01-08,0,Switzerland,0.0
5693,2020-01-08,0,Taiwan,0.0
5769,2020-01-08,0,Thailand,0.0
5899,2020-01-08,0,United_Arab_Emirates,0.0
5982,2020-01-08,0,United_Kingdom,0.0
6071,2020-01-08,0,United_States_of_America,0.0
6173,2020-01-08,0,Vietnam,0.0
63,2020-01-09,0,Afghanistan,0.0
155,2020-01-09,0,Algeria,0.0
258,2020-01-09,0,Armenia,0.0
341,2020-01-09,0,Australia,0.0
424,2020-01-09,0,Austria,0.0
500,2020-01-09,0,Azerbaijan,0.0
587,2020-01-09,0,Bahrain,0.0
675,2020-01-09,0,Belarus,0.0
758,2020-01-09,0,Belgium,0.0
876,2020-01-09,0,Brazil,0.0
985,2020-01-09,0,Cambodia,0.0
1078,2020-01-09,0,Canada,0.0
1144,2020-01-09,0,Cases_on_an_international_conveyance_Japan,0.0
1258,2020-01-09,0,China,0.0
1381,2020-01-09,0,Croatia,0.0
1483,2020-01-09,0,Czech_Republic,0.0
1576,2020-01-09,0,Denmark,0.0
1654,2020-01-09,0,Dominican_Republic,0.0
1732,2020-01-09,0,Ecuador,0.0
1811,2020-01-09,0,Egypt,0.0
1902,2020-01-09,0,Estonia,0.0
2003,2020-01-09,0,Finland,0.0
2086,2020-01-09,0,France,0.0
2184,2020-01-09,0,Georgia,0.0
2267,2020-01-09,0,Germany,0.0
2360,2020-01-09,0,Greece,0.0
2514,2020-01-09,0,Iceland,0.0
2596,2020-01-09,0,India,0.0
2672,2020-01-09,0,Indonesia,0.0
2755,2020-01-09,0,Iran,0.0
2836,2020-01-09,0,Iraq,0.0
2917,2020-01-09,0,Ireland,0.0
2999,2020-01-09,0,Israel,0.0
3082,2020-01-09,0,Italy,0.0
3175,2020-01-09,0,Japan,0.0
3292,2020-01-09,0,Kuwait,0.0
3391,2020-01-09,0,Lebanon,0.0
3483,2020-01-09,0,Lithuania,0.0
3559,2020-01-09,0,Luxembourg,0.0
3643,2020-01-09,0,Malaysia,0.0
3755,2020-01-09,0,Mexico,0.0
3839,2020-01-09,0,Monaco,0.0
3945,2020-01-09,0,Nepal,0.0
4028,2020-01-09,0,Netherlands,0.0
4107,2020-01-09,0,New_Zealand,0.0
4185,2020-01-09,0,Nigeria,0.0
4259,2020-01-09,0,North_Macedonia,0.0
4342,2020-01-09,0,Norway,0.0
